country,name,type
China,"Shandong Science and Technology Press Co., Ltd. (SSTP)",Publishers / Science and Technology Publishing
China,"Phoenix Literature Publishing, Ltd.",Publishers / Literature Publishing
China,北京创智明辉文化发展有限公司,Publishers / Comprehensive Publishing
China,新疆美术摄影出版社  新疆电子音像出版社,Publishers / Comprehensive Publishing
China,朝华出版社,Publishers / Comprehensive Publishing
China,Sichuan Children's Publishing House,Publishers / Children's Publishing
Austria,Seifert Verlag GmbH,Publishers / Literature Publishing
China,"Beijing Young Hare Culture Development Co., Ltd",Publishers / Comics Publishing
Australia,Inspiring Publishers,Publishers / Comprehensive Publishing
Argentina,Editorial Albatros,Publishers / Comprehensive Publishing
Austria,Edition Vicart,Publishers / Popular Science Publishing
China,"Beijing Zito Books Co., Ltd.",Publishers / Comprehensive Publishing
China,"Tianjin People's Publishing House Co.,Ltd.",Publishers / Comprehensive Publishing
China,"Beijing Huaxia Winshare Books Co., Ltd.",Publishers / Comprehensive Publishing
Germany,Zambon editore,Publishers / Comprehensive Publishing
Germany,HÄRTER Kinderbuchverlag,Publishers / Children's Publishing
Japan,B-factory12(ビーファクトリー),Publishers / Comprehensive Publishing
India,GOOD TIMES BOOKS PVT. LTD.,Publishers / Comprehensive Publishing
China,Huaxia Publishing House,Publishers / Comprehensive Publishing
Germany,Rüggeberg-Verlag,Publishers / Scholarly Publishing
Ukraine,Publishing House Talant,Publishers / Children's Publishing
China,CHINA CHILDREN'S PRESS & PUBLICATION GROUP,Publishers / Children's Publishing
"Taiwan, China",Business Weekly Publications,Publishers / Comprehensive Publishing
Spain,"GREEN TRIQUETA, S.L.U.",Publishers / Children's Publishing
Egypt,Sefsafa Publishing,Publishers / Literature Publishing
France,Scrineo,Publishers / Comprehensive Publishing
Russia,litcenterspb,Publishers / Comprehensive Publishing
China,Tomorrow Publishing House,Publishers / Children's Publishing
Kazakhstan,Aruna Publishing Ltd,Publishers / Children's Publishing
Belgium,Clavis Books,Publishers / Children's Publishing
Singapore,Shapeys Education Pte Ltd,Publishers / Children's Publishing
China,Hunan Juvenile & Children's Publishing House,Publishers / Children's Publishing
China,Oriental Publishing Center,Publishers / Comprehensive Publishing
France,Les Editions Bilboquet,Publishers / Children's Publishing
United Kingdom,Tony tingle,Publishers / Comprehensive Publishing
"Taiwan, China",红蚂蚁图书有限公司,Publishers / Comprehensive Publishing
China,Guangxi Normal University Press Group,Publishers / Comprehensive Publishing
Japan,Sairyusha Co.,Publishers / Comprehensive Publishing
Singapore,Lingzi Media Pte Ltd,Publishers / Comprehensive Publishing
China,"Beijing Changjiang New Century Culture and Media Co., Ltd",Publishers / Comprehensive Publishing
China,Juvenile & Children's Publishing House,Publishers / Children's Publishing
Spain,Grupo edebe,Publishers / Children's Publishing
Spain,"EDITORIAL OCÉANO, S.L.",Publishers / Children's Publishing
France,Les P'tits Bérets,Publishers / Children's Publishing
Argentina,Ugerman Editor,Publishers / Science and Technology Publishing
Spain,ESIC Editorial,Publishers / Social Science Publishing
Spain,APILA EDICIONES,Publishers / Children's Publishing
Spain,Editorial Ecu,Publishers / Comprehensive Publishing
China,Dongfang Woye Press -  A division of Jiangxi Universities and Colleges Press in Beijing,Publishers / Children's Publishing
United Kingdom,Verso Books,Publishers / Comprehensive Publishing
Germany,Papierfresserchens MTM-Verlag,Publishers / Comprehensive Publishing
Japan,"G.Grape Co.,Ltd.",Publishers / Children's Publishing
China,Tongji University Press,Publishers / Textbook Publishing
Japan,株式会社オーム社,Publishers / Science and Technology Publishing
China,Shandong Publishing House of Literature and Art,Publishers / Literature Publishing
Italy,Valentina Editions,Publishers / Children's Publishing
Spain,Combel Editorial,Publishers
United Kingdom,Ashgate Publishing,Publishers / Social Science Publishing
United States,AZ Books,Publishers / Children's Publishing
Switzerland,Editions Limonade,Publishers / Children's Publishing
France,Asphalte éditions,Publishers / Literature Publishing
India,Vishv Books Pvt Ltd.,Publishers
Ukraine,ARTCARDBOOK,Publishers
United States,The Americas Group,Publishers / Comprehensive Publishing
Germany,Engelsdorfer Verlag,Publishers / Comprehensive Publishing
China,九州出版社,Publishers / Comprehensive Publishing
Ukraine,Vivat Publishing Ltd.,Publishers / Children's Publishing
Spain,Ediciones Parramón,Publishers
India,Young Angels International,Publishers / Children's Publishing
China,China Light Industry Press,Publishers / Science and Technology Publishing
Mexico,Ediciones El Naranjo,Publishers / Children's Publishing
"Taiwan, China",台灣丹羅華出版事業,Publishers / Comprehensive Publishing
Malaysia,大将出版社,Publishers
China,四川辞书出版社,Publishers / Reference Books Publishing
China,Anhui People's Publishing House,Publishers / Social Science Publishing
China,中国和平出版社有限公司,Publishers / Children's Publishing
Australia,ASJ Publishing,Publishers / Literature Publishing
China,China Financial & Economic Publishing House,Publishers / Economic & Financial Publishing
"Taiwan, China",新文京開發出版股份有限公司,Publishers / Textbook Publishing
China,Zhejiang Juvenile and Children's Publishing House,Publishers / Children's Publishing
Japan,"Nikkei Business Publications, Inc.",Publishers / Magazine Publishing
France,Denoël,Publishers / Comprehensive Publishing
"Taiwan, China",GrandTech Information,Publishers / Comprehensive Publishing
United States,SAGE Publications,Publishers / Social Science Publishing
France,Kilowatt publishing,Publishers / Children's Publishing
"Taiwan, China",PsyGarden Publishing Company,Publishers / Comprehensive Publishing
United Kingdom,Zed Books,Publishers / Social Science Publishing
China,Publishing House of Electronics Industry,Publishers / Comprehensive Publishing
United Kingdom,I.B.Tauris,Publishers / Scholarly Publishing
China,Guangxi People's Publishing House,Publishers / Comprehensive Publishing
